mask_id,gender,age,test_date,test_time,EI,SN,TF,JP,face_img
000000000054,female,20.0,2010-11-02,1003,12,16,5,3,000000028368.png
000000026558,male,20.0,2010-11-02,311,12,19,14,20,000000036636.png
000000045635,female,20.0,2010-11-02,447,17,17,10,9,000000002656.png
000000006391,female,20.0,2010-11-02,250,16,3,7,4,000000046247.png
000000008044,female,20.0,2010-11-02,406,20,9,9,14,000000046513.png
000000032815,male,20.0,2010-11-02,435,6,10,13,15,000000019598.png
000000000280,female,20.0,2010-11-02,538,17,17,6,16,000000050952.png
000000026255,female,20.0,2010-11-02,365,10,15,5,15,000000044717.png
000000053108,female,20.0,2010-11-02,448,13,10,11,11,000000023518.png
000000020597,female,20.0,2010-11-02,339,8,20,13,20,000000042275.png
000000034349,female,20.0,2010-11-02,372,4,16,21,18,000000036505.png
000000034611,female,20.0,2010-11-02,844,11,9,2,3,000000018826.png
000000041278,male,20.0,2010-11-02,460,3,4,2,3,000000050599.png
000000012661,female,20.0,2010-11-02,303,17,18,10,19,000000008875.png
000000056675,female,20.0,2010-11-02,341,12,13,5,5,000000014734.png
000000018422,female,20.0,2010-11-02,670,9,14,14,5,000000018559.png
000000028016,female,20.0,2010-11-02,332,20,10,3,9,000000055370.png
000000050442,male,20.0,2010-11-02,290,2,8,9,9,000000027599.png
000000011222,female,20.0,2010-11-02,290,18,9,6,15,000000025245.png
000000050904,female,20.0,2010-11-02,315,7,11,2,14,000000003209.png
000000032505,female,20.0,2010-11-02,405,16,19,15,20,000000042789.png
000000049099,female,17.0,2010-11-02,195,16,10,7,19,000000048586.png
000000027883,female,20.0,2010-11-02,702,13,17,23,11,000000055660.png
000000023944,female,20.0,2010-11-02,744,8,16,18,21,000000032316.png
000000011276,male,20.0,2010-11-02,692,5,6,16,14,000000049994.png
000000030443,female,20.0,2010-11-02,403,11,9,2,10,000000010113.png
000000056025,female,20.0,2010-11-02,283,18,16,17,19,000000044822.png
000000045681,female,20.0,2010-11-02,146,13,16,11,11,000000027818.png
000000018143,female,20.0,2010-11-02,461,11,9,9,9,000000024497.png
000000029149,male,20.0,2010-11-02,411,14,15,16,14,000000015700.png
000000000802,male,20.0,2010-11-02,515,10,22,18,18,000000051555.png
000000007495,female,20.0,2010-11-02,330,16,11,12,8,000000048437.png
000000047348,female,20.0,2010-11-03,249,12,13,12,6,000000017351.png
000000002784,female,20.0,2010-11-02,356,15,16,11,13,000000049054.png
000000049504,female,20.0,2010-11-03,507,10,7,8,15,000000022104.png
000000026614,male,20.0,2010-11-03,301,10,16,16,15,000000023142.png
000000019833,female,20.0,2010-11-03,277,16,20,13,21,000000033208.png
000000039216,female,20.0,2010-11-03,374,14,18,13,20,000000030182.png
000000023508,female,20.0,2010-11-03,325,12,17,9,21,000000020654.png
000000031701,female,18.0,2010-11-03,507,4,14,16,17,000000048913.png
000000048009,female,20.0,2010-11-03,436,18,18,6,17,000000006613.png
000000042609,female,20.0,2010-11-03,387,2,23,16,20,000000008516.png
000000002114,female,20.0,2010-11-03,464,8,14,20,15,000000014457.png
000000009835,female,20.0,2010-11-03,331,11,14,7,11,000000020815.png
000000018511,female,20.0,2010-11-03,508,2,18,8,8,000000033737.png
000000011513,female,20.0,2010-11-03,302,17,4,10,3,000000056504.png
000000055676,female,20.0,2010-11-03,726,15,14,16,10,000000005806.png
000000028211,male,20.0,2010-11-03,462,19,6,6,4,000000024803.png
000000030861,female,20.0,2010-11-03,338,8,9,9,17,000000018287.png
000000020414,female,20.0,2010-11-03,367,6,18,8,12,000000027243.png
000000022156,male,20.0,2010-11-03,278,16,15,1,18,000000036575.png
000000038873,female,20.0,2010-11-03,583,11,11,7,14,000000023166.png
000000018516,female,20.0,2010-11-03,270,17,19,13,19,000000039422.png
000000056154,male,20.0,2010-11-03,392,18,15,15,17,000000046850.png
000000003598,female,20.0,2010-11-03,441,16,15,3,8,000000002533.png
000000040098,male,20.0,2010-11-03,154,12,12,10,10,000000026817.png
000000010079,female,20.0,2010-11-03,246,18,16,8,17,000000035905.png
000000008265,male,20.0,2010-11-03,650,16,15,17,20,000000019294.png
000000020857,male,20.0,2010-11-03,404,10,14,11,9,000000031746.png
000000053552,male,20.0,2010-11-03,473,10,11,17,13,000000020137.png
000000048209,male,20.0,2010-11-03,502,13,14,7,17,000000009556.png
000000009216,male,20.0,2010-11-03,553,14,21,7,21,000000034570.png
000000022137,male,20.0,2010-11-03,301,10,11,12,14,000000013643.png
000000054200,female,20.0,2010-11-03,559,9,16,13,16,000000016614.png
000000054445,male,20.0,2010-11-03,225,18,11,10,20,000000037369.png
000000007442,male,20.0,2010-11-03,506,18,20,10,18,000000052258.png
000000018186,male,20.0,2010-11-03,476,16,17,17,19,000000017178.png
000000045228,male,20.0,2010-11-03,363,18,13,8,20,000000054151.png
000000039404,female,20.0,2010-11-03,535,7,10,14,17,000000012613.png
000000044994,female,20.0,2010-11-03,417,5,21,11,13,000000018184.png
000000052654,male,20.0,2010-11-03,340,14,18,19,18,000000033897.png
000000032141,female,20.0,2010-11-03,681,11,24,14,18,000000038842.png
000000026298,male,20.0,2010-11-03,365,6,21,11,17,000000042819.png
000000052953,female,20.0,2010-11-03,566,18,17,19,13,000000037194.png
000000050767,female,20.0,2010-11-05,250,10,13,2,11,000000016906.png
000000045571,female,20.0,2010-11-05,319,15,17,8,14,000000048777.png
000000006105,female,20.0,2010-11-05,205,18,17,5,16,000000014893.png
000000001672,female,20.0,2010-11-05,363,13,15,1,18,000000012761.png
000000008145,male,20.0,2010-11-05,1200,16,6,17,15,000000027064.png
000000036024,female,20.0,2010-11-05,387,17,10,8,13,000000026185.png
000000011976,male,20.0,2010-11-05,1438,14,3,15,20,000000024442.png
000000045929,female,20.0,2010-11-05,383,17,14,17,17,000000003563.png
000000014490,female,20.0,2010-11-05,673,15,18,13,18,000000007660.png
000000006803,female,20.0,2010-11-05,472,15,17,9,18,000000039678.png
000000047209,female,20.0,2010-11-05,508,19,7,14,16,000000051462.png
000000001079,female,20.0,2010-11-05,399,16,17,6,14,000000015753.png
000000010794,female,20.0,2010-11-05,160,18,17,17,21,000000032563.png
000000035871,female,20.0,2010-11-05,209,12,9,8,4,000000008879.png
000000053230,male,20.0,2010-11-05,247,4,14,8,18,000000039699.png
000000056626,male,20.0,2010-11-05,217,4,5,1,6,000000032909.png
000000013844,female,20.0,2010-11-05,442,12,7,7,10,000000021642.png
000000005696,female,20.0,2010-11-05,318,5,17,21,19,000000019354.png
000000035278,female,20.0,2010-11-05,734,10,22,6,5,000000019020.png
000000017657,male,18.0,2010-11-05,320,12,10,11,9,000000008920.png
000000054202,female,20.0,2010-11-05,326,13,20,14,15,000000000553.png
000000055983,female,20.0,2010-11-05,392,12,10,8,15,000000046848.png
000000009668,male,20.0,2010-11-05,444,13,21,16,20,000000033827.png
000000036793,male,20.0,2010-11-05,242,10,13,10,6,000000022801.png
000000052856,male,20.0,2010-11-05,307,19,11,9,15,000000038242.png
000000028612,male,20.0,2010-11-05,377,18,14,15,20,000000021035.png
000000027294,female,20.0,2010-11-05,442,7,24,8,5,000000041362.png
000000038094,male,20.0,2010-11-05,382,18,15,13,14,000000004479.png
000000050110,female,20.0,2010-11-05,437,18,15,13,20,000000038071.png
000000010135,male,20.0,2010-11-05,498,5,7,6,10,000000029711.png
000000043129,female,20.0,2010-11-05,496,15,21,8,14,000000011833.png
000000024067,female,20.0,2010-11-05,376,6,18,17,16,000000039179.png
000000042704,female,20.0,2010-11-05,215,19,7,4,4,000000023245.png
000000008786,female,20.0,2010-11-05,504,9,16,18,21,000000020527.png
000000027860,female,20.0,2010-11-05,343,5,18,12,18,000000010871.png
000000048594,male,20.0,2010-11-05,465,4,11,14,19,000000036937.png
000000021281,female,20.0,2010-11-05,256,7,12,20,12,000000004683.png
000000044687,female,20.0,2010-11-05,307,18,17,13,12,000000020548.png
000000050421,male,20.0,2010-11-05,335,13,6,9,7,000000015094.png
000000052772,female,20.0,2010-11-05,373,10,13,13,15,000000009321.png
000000047413,female,20.0,2010-11-05,308,14,17,10,12,000000050936.png
000000026187,male,20.0,2010-11-05,387,14,17,20,19,000000046906.png
000000018386,female,20.0,2010-11-05,721,8,25,18,18,000000038746.png
000000043749,female,18.0,2010-11-05,352,8,21,17,19,000000048890.png
000000010443,male,20.0,2010-11-05,466,6,14,13,8,000000033705.png
000000002084,female,20.0,2010-11-05,513,18,14,23,19,000000000143.png
000000001818,female,20.0,2010-11-05,362,9,17,17,12,000000005411.png
000000005012,male,20.0,2010-11-05,865,10,12,15,17,000000009631.png
000000016821,female,20.0,2010-11-05,571,19,17,18,16,000000047761.png
000000048499,female,20.0,2010-11-05,261,12,21,5,19,000000037308.png
000000034858,female,20.0,2010-11-05,376,10,14,19,19,000000031914.png
000000054692,male,20.0,2010-11-05,475,14,21,16,18,000000053142.png
000000053624,female,20.0,2010-11-05,695,20,20,11,15,000000010610.png
000000021916,male,20.0,2010-11-05,323,11,5,5,2,000000018689.png
000000044417,female,20.0,2010-11-05,542,4,10,3,14,000000007435.png
000000015205,female,20.0,2010-11-05,426,17,10,14,14,000000024260.png
000000035582,female,20.0,2010-11-05,330,1,22,16,21,000000035253.png
000000000395,female,20.0,2010-11-05,336,4,22,18,15,000000007141.png
000000005048,female,20.0,2010-11-05,287,12,6,6,9,000000030906.png
000000037894,female,20.0,2010-11-05,439,19,20,6,15,000000044428.png
000000051013,female,20.0,2010-11-05,280,15,15,7,7,000000007454.png
000000015447,female,20.0,2010-11-05,655,5,15,11,16,000000027628.png
000000051188,female,20.0,2010-11-05,493,12,19,14,20,000000053083.png
000000044597,female,20.0,2010-11-05,466,13,23,14,18,000000006710.png
000000050432,female,20.0,2010-11-05,373,16,10,4,16,000000050809.png
000000018298,female,20.0,2010-11-05,339,3,15,7,20,000000012697.png
000000050224,female,20.0,2010-11-05,372,17,11,10,15,000000042257.png
000000041701,female,20.0,2010-11-05,502,7,16,15,15,000000044404.png
000000000362,female,20.0,2010-11-05,637,6,11,8,15,000000053690.png
000000020024,female,20.0,2010-11-05,310,17,12,7,4,000000056135.png
000000004050,male,20.0,2010-11-05,423,6,24,9,12,000000053303.png
000000033853,male,20.0,2010-11-05,297,12,14,6,18,000000020400.png
000000006484,female,20.0,2010-11-05,391,21,14,4,12,000000009510.png
000000030028,male,20.0,2010-11-05,386,12,11,15,13,000000014549.png
000000036078,male,20.0,2010-11-05,420,19,9,6,6,000000023299.png
000000052596,female,20.0,2010-11-05,345,19,13,11,11,000000038759.png
000000046008,male,20.0,2010-11-05,44,12,20,12,10,000000012677.png
000000029953,female,19.0,2010-11-05,313,9,22,10,22,000000051473.png
000000036917,female,20.0,2010-11-05,949,4,16,11,17,000000005695.png
000000013518,female,20.0,2010-11-05,572,13,19,14,19,000000048254.png
000000051504,female,20.0,2010-11-05,516,8,15,10,8,000000001293.png
000000051237,male,18.0,2010-11-05,288,9,20,14,9,000000000985.png
000000002798,female,19.0,2010-11-05,436,16,7,19,18,000000038995.png
000000029754,male,20.0,2010-11-05,294,7,21,10,20,000000003653.png
000000001833,female,20.0,2010-11-05,499,18,23,10,20,000000055925.png
000000013187,male,20.0,2010-11-05,250,15,14,11,8,000000032302.png
000000029782,male,20.0,2010-11-05,71,9,13,12,13,000000011806.png
000000043521,female,19.0,2010-11-05,201,3,12,5,17,000000031025.png
000000055522,female,20.0,2010-11-05,376,17,6,0,6,000000026367.png
000000042487,female,20.0,2010-11-05,351,11,23,13,5,000000052550.png
000000047758,female,20.0,2010-11-05,387,13,16,19,21,000000041025.png
000000030448,male,20.0,2010-11-05,39,11,12,12,10,000000053340.png
000000023761,female,20.0,2010-11-05,379,4,24,22,19,000000044824.png
000000033774,female,20.0,2010-11-05,191,14,16,5,19,000000030500.png
000000049905,female,20.0,2010-11-05,166,8,12,12,10,000000038977.png
000000019540,female,20.0,2010-11-05,468,14,17,14,17,000000019015.png
000000040286,female,20.0,2010-11-05,726,13,11,1,10,000000050414.png
000000051915,female,20.0,2010-11-05,310,6,13,19,6,000000047039.png
000000001544,male,20.0,2010-11-05,305,7,24,9,9,000000003564.png
000000030214,female,20.0,2010-11-05,439,10,9,8,7,000000002475.png
000000053720,female,20.0,2010-11-05,278,17,15,17,20,000000045570.png
000000043436,male,20.0,2010-11-05,228,18,17,22,14,000000016710.png
000000023466,female,20.0,2010-11-05,277,15,16,14,15,000000007833.png
000000001057,female,20.0,2010-11-05,368,7,10,14,17,000000017598.png
000000030798,female,20.0,2010-11-05,423,4,15,9,13,000000024605.png
000000027910,male,20.0,2010-11-05,632,11,7,7,2,000000002888.png
000000022517,female,20.0,2010-11-05,502,2,25,15,12,000000004317.png
000000038001,female,20.0,2010-11-05,377,17,10,2,4,000000052484.png
000000040753,female,20.0,2010-11-05,402,10,3,19,10,000000043364.png
000000000241,female,20.0,2010-11-05,206,6,14,15,16,000000008153.png
000000044129,female,20.0,2010-11-05,260,13,21,18,21,000000036016.png
000000050962,female,20.0,2010-11-05,199,15,13,13,10,000000028921.png
000000019856,female,20.0,2010-11-05,103,15,15,12,16,000000012172.png
000000027216,female,20.0,2010-11-05,439,10,12,13,17,000000008588.png
000000020843,female,20.0,2010-11-05,253,15,10,11,19,000000028048.png
000000049084,male,20.0,2010-11-05,353,2,19,12,4,000000005363.png
000000023996,female,20.0,2010-11-05,326,19,18,13,10,000000053057.png
000000049832,male,20.0,2010-11-05,64,9,12,11,10,000000017259.png
000000037835,female,20.0,2010-11-05,239,11,9,7,8,000000014356.png
000000015508,female,20.0,2010-11-05,304,4,10,4,3,000000022875.png
000000018668,female,20.0,2010-11-05,441,16,20,15,17,000000012056.png
000000049366,female,20.0,2010-11-05,195,12,21,9,8,000000017640.png
000000017433,female,20.0,2010-11-05,872,14,8,15,9,000000048021.png
000000003897,female,20.0,2010-11-05,425,2,9,3,7,000000032460.png
000000001324,female,20.0,2010-11-05,336,8,19,15,13,000000011354.png
000000052271,female,20.0,2010-11-05,274,14,12,14,14,000000014065.png
000000049228,female,20.0,2010-11-05,378,1,19,4,11,000000055120.png
000000048404,female,20.0,2010-11-05,444,7,18,15,15,000000039734.png
000000055056,female,20.0,2010-11-05,218,6,7,6,0,000000005334.png
000000027931,female,20.0,2010-11-05,421,12,19,10,14,000000005163.png
000000029793,female,20.0,2010-11-05,283,10,7,16,16,000000005298.png
000000001542,male,20.0,2010-11-05,655,15,12,9,11,000000037675.png
000000050682,female,20.0,2010-11-05,254,8,22,9,13,000000035185.png
000000026124,female,20.0,2010-11-05,375,8,18,14,17,000000017785.png
000000015880,female,20.0,2010-11-05,695,12,7,12,17,000000005222.png
000000055191,female,20.0,2010-11-05,518,14,13,22,20,000000022820.png
000000032762,female,20.0,2010-11-05,374,5,23,17,18,000000049029.png
000000004945,female,20.0,2010-11-05,469,13,18,6,10,000000008239.png
000000053752,female,20.0,2010-11-05,706,13,20,13,18,000000002756.png
000000014356,female,20.0,2010-11-05,625,16,14,5,16,000000038338.png
000000052494,female,20.0,2010-11-05,342,5,23,8,11,000000007467.png
000000047505,female,20.0,2010-11-05,514,18,23,16,19,000000031865.png
000000017113,female,20.0,2010-11-05,314,15,9,13,19,000000043267.png
000000033476,male,0.0,2010-11-05,1491,10,11,18,17,000000045849.png
000000026653,female,18.0,2010-11-05,248,19,14,17,11,000000052941.png
000000005896,female,20.0,2010-11-05,544,4,23,8,19,000000031837.png
000000010260,female,19.0,2010-11-05,323,6,15,3,8,000000016647.png
000000006479,female,20.0,2010-11-05,311,13,7,11,13,000000013898.png
000000000279,male,20.0,2010-11-05,537,15,11,15,11,000000017261.png
000000045084,female,20.0,2010-11-05,247,4,11,13,14,000000027416.png
000000041251,female,18.0,2010-11-05,299,14,16,11,14,000000024669.png
000000030510,female,20.0,2010-11-05,371,7,11,18,9,000000005720.png
000000031961,female,20.0,2010-11-05,436,9,4,10,15,000000027408.png
000000053164,female,20.0,2010-11-05,409,7,15,4,5,000000048125.png
000000006385,female,20.0,2010-11-05,636,9,9,19,19,000000023731.png
000000052163,male,20.0,2010-11-05,290,8,12,11,12,000000018185.png
000000014997,female,20.0,2010-11-05,339,12,13,8,14,000000027175.png
000000013773,male,20.0,2010-11-05,207,11,14,7,16,000000026904.png
000000052982,female,20.0,2010-11-05,372,6,24,14,21,000000006361.png
000000012382,female,20.0,2010-11-05,688,10,18,14,16,000000041284.png
000000036370,female,20.0,2010-11-05,398,15,15,16,18,000000002225.png
000000001783,female,20.0,2010-11-05,244,11,24,12,21,000000021104.png
000000004569,female,20.0,2010-11-05,377,13,12,14,7,000000003110.png
000000036628,female,20.0,2010-11-05,400,10,19,0,15,000000020524.png
000000048854,female,20.0,2010-11-05,531,16,19,3,12,000000048699.png
000000021135,female,18.0,2010-11-05,466,1,10,10,6,000000017137.png
000000010571,female,20.0,2010-11-05,461,10,17,9,16,000000016999.png
000000011773,female,20.0,2010-11-06,373,20,13,18,14,000000001380.png
000000048894,male,20.0,2010-11-06,498,16,14,19,19,000000039723.png
000000043445,female,20.0,2010-11-06,358,3,14,16,17,000000000732.png
000000016532,female,20.0,2010-11-06,458,5,22,9,15,000000018632.png
000000002049,female,20.0,2010-11-06,255,13,10,17,14,000000019526.png
000000046182,male,20.0,2010-11-06,387,16,5,17,17,000000020688.png
000000000233,male,20.0,2010-11-06,281,15,9,2,8,000000023255.png
000000054006,male,20.0,2010-11-06,570,15,17,16,11,000000049917.png
000000055873,male,20.0,2010-11-06,394,7,2,16,9,000000024180.png
000000033139,female,20.0,2010-11-06,482,15,17,21,17,000000033140.png
000000017183,female,20.0,2010-11-06,509,18,13,17,14,000000030274.png
000000013144,female,20.0,2010-11-06,380,15,18,11,12,000000008195.png
000000043752,female,20.0,2010-11-06,322,4,21,14,19,000000054082.png
000000007403,female,20.0,2010-11-06,499,18,10,11,19,000000002862.png
000000030114,female,20.0,2010-11-06,436,17,16,7,19,000000042384.png
000000040378,female,20.0,2010-11-06,241,19,13,11,17,000000039370.png
000000050040,female,20.0,2010-11-06,404,17,14,18,19,000000032588.png
000000014121,female,20.0,2010-11-06,421,2,9,4,7,000000011162.png
000000013801,female,20.0,2010-11-06,390,9,14,7,8,000000001299.png
000000012538,male,20.0,2010-11-06,441,20,21,9,14,000000050919.png
000000046499,female,20.0,2010-11-06,496,9,13,19,18,000000019302.png
000000029144,female,20.0,2010-11-06,543,15,18,13,14,000000017081.png
000000022431,female,20.0,2010-11-06,335,14,14,8,6,000000034538.png
000000053696,female,20.0,2010-11-06,302,11,24,20,19,000000040246.png
000000054433,female,20.0,2010-11-06,443,8,20,11,22,000000028258.png
000000030473,female,20.0,2010-11-06,305,15,9,10,17,000000001138.png
000000004318,female,20.0,2010-11-06,484,8,19,15,21,000000050528.png
000000019315,male,20.0,2010-11-06,933,14,21,13,16,000000053046.png
000000007893,male,20.0,2010-11-06,326,3,5,11,11,000000051835.png
000000006564,female,18.0,2010-11-06,457,14,9,16,20,000000009107.png
000000029207,female,20.0,2010-11-06,327,20,5,17,21,000000008964.png
000000043957,female,20.0,2010-11-06,375,14,13,11,17,000000001492.png
000000025852,female,20.0,2010-11-06,316,18,20,24,19,000000033796.png
000000048664,female,20.0,2010-11-06,476,11,10,6,7,000000055937.png
000000020733,male,20.0,2010-11-06,362,9,16,12,16,000000010276.png
000000009331,male,20.0,2010-11-06,296,20,6,1,10,000000026518.png
000000015817,female,20.0,2010-11-06,458,19,11,11,11,000000036296.png
000000044925,female,20.0,2010-11-06,481,18,10,7,7,000000010309.png
000000024324,female,20.0,2010-11-06,360,15,17,16,13,000000033498.png
000000035857,female,20.0,2010-11-06,463,18,17,6,15,000000020182.png
000000009899,female,20.0,2010-11-06,294,16,24,4,13,000000051617.png
000000055189,female,20.0,2010-11-06,463,3,2,13,6,000000049100.png
000000010122,female,20.0,2010-11-06,369,5,18,19,16,000000032227.png
000000009565,male,20.0,2010-11-06,367,16,12,5,10,000000000689.png
000000023076,female,20.0,2010-11-06,760,17,5,16,19,000000008079.png
000000026230,female,18.0,2010-11-06,258,10,12,17,22,000000039082.png
000000006779,female,20.0,2010-11-06,420,9,13,10,12,000000043457.png
000000033832,female,20.0,2010-11-06,281,18,13,6,12,000000024640.png
000000048635,female,20.0,2010-11-06,356,15,16,8,17,000000051548.png
000000001576,female,20.0,2010-11-06,829,15,16,14,7,000000043538.png
000000038032,female,18.0,2010-11-06,491,18,18,15,14,000000048213.png
000000050030,male,20.0,2010-11-06,442,15,22,24,21,000000010281.png
000000052846,female,19.0,2010-11-06,514,8,16,12,18,000000018915.png
000000043929,female,18.0,2010-11-06,409,3,5,11,10,000000053153.png
000000010121,female,20.0,2010-11-06,464,11,26,10,4,000000010306.png
000000045197,female,20.0,2010-11-06,602,15,19,23,19,000000002417.png
000000051997,female,20.0,2010-11-06,345,9,13,18,21,000000011778.png
000000007445,male,20.0,2010-11-07,375,9,10,14,8,000000020969.png
000000040938,female,20.0,2010-11-07,418,17,16,12,16,000000054420.png
000000048638,female,20.0,2010-11-07,325,13,19,12,10,000000043309.png
000000008363,female,20.0,2010-11-07,416,10,15,15,15,000000042262.png
000000028653,female,20.0,2010-11-07,451,14,17,17,17,000000009313.png
000000056376,female,20.0,2010-11-07,748,5,11,9,13,000000032640.png
000000007782,female,20.0,2010-11-07,506,15,17,15,18,000000015864.png
000000055282,female,20.0,2010-11-07,357,11,21,6,16,000000011411.png
000000046769,female,20.0,2010-11-07,499,9,15,17,10,000000048076.png
000000021276,female,20.0,2010-11-07,391,1,23,22,15,000000030667.png
000000022150,female,20.0,2010-11-07,513,7,17,15,13,000000038181.png
000000027371,female,20.0,2010-11-07,421,9,7,11,13,000000007026.png
000000013523,female,20.0,2010-11-07,385,8,8,12,8,000000040924.png
000000001082,female,20.0,2010-11-07,351,12,14,18,20,000000052939.png
000000008010,female,20.0,2010-11-07,412,10,19,9,10,000000016953.png
000000033634,female,20.0,2010-11-07,399,15,8,15,12,000000036716.png
000000055530,female,20.0,2010-11-07,534,11,6,13,10,000000050343.png
000000001159,female,20.0,2010-11-07,229,13,6,13,9,000000039927.png
000000055792,female,20.0,2010-11-07,346,5,22,10,15,000000041485.png
000000022367,female,20.0,2010-11-07,356,14,18,5,10,000000052412.png
000000001522,female,20.0,2010-11-07,265,17,9,10,3,000000007856.png
000000006045,female,20.0,2010-11-07,279,7,10,8,4,000000044995.png
000000010157,male,20.0,2010-11-07,318,15,7,12,6,000000052316.png
000000010993,female,20.0,2010-11-07,387,5,7,4,5,000000050587.png
000000050809,male,20.0,2010-11-07,349,12,22,16,22,000000055952.png
000000027803,male,20.0,2010-11-07,458,9,25,8,6,000000024575.png
000000035828,male,20.0,2010-11-07,317,14,21,16,17,000000026735.png
000000016033,male,20.0,2010-11-07,662,14,10,11,10,000000019708.png
